IP_Address,DateTime,Date,Time,Lat_Lng,gcl_wbr,bot_yn,Gbot_yn,UsrAgntSHORT
3499,2877,6,2265,3,4,1,1,12
3535,4076,8,2883,3,13,1,1,28
3532,3554,7,3576,3,13,1,1,28
3499,3268,6,7217,3,13,1,1,28
3528,1146,1,6982,3,13,1,1,28
3526,1158,1,7079,3,13,1,1,28
3531,4169,8,3969,3,13,1,1,28
3512,1063,1,5766,3,13,1,1,28
3505,1383,2,3982,3,13,1,1,28
3499,2908,6,2608,3,13,1,1,28
3505,792,1,2452,3,13,1,1,28
3497,2509,5,5718,3,13,1,1,28
3498,3852,7,7187,3,13,1,1,28
3500,1220,2,407,3,13,1,1,28
3529,1184,1,7295,3,13,1,1,28
3536,3966,8,1306,3,13,1,1,28
3499,3810,7,6606,3,13,1,1,28
3514,1633,4,821,3,13,1,1,28
3537,4045,8,2492,3,13,1,1,28
3537,4277,8,5512,3,13,1,1,28
3535,4245,8,5095,3,13,1,1,28
3826,1216,2,375,3,13,0,0,12
3823,673,1,505,3,13,1,0,0
3502,1821,4,3275,3,13,1,1,28
3515,2602,5,6741,3,13,1,1,28
3499,2827,6,1699,3,13,1,1,28
3498,2972,6,3399,3,13,1,1,28
3504,722,1,1266,3,13,1,1,28
3535,3902,8,420,3,13,1,1,28
3497,3008,6,3794,3,13,1,1,28
3499,2822,6,1648,3,13,1,1,28
3548,12,0,159,3,13,0,0,12
3557,12,0,160,3,13,0,0,12
3536,498,0,5883,3,13,1,1,28
3498,2734,6,757,3,13,1,1,28
3829,3341,7,802,3,13,1,0,0
3499,3034,6,4146,3,13,1,1,28
3503,1425,2,6399,3,13,1,1,28
3529,87,0,818,3,13,1,1,28
3513,1210,2,314,3,13,1,1,28
3509,1555,3,5363,3,13,1,1,28
3513,2667,5,7296,3,13,1,1,28
3572,3307,7,470,3,13,1,0,31
3568,2041,4,6924,3,13,0,0,14
3568,1165,1,7131,3,13,0,0,14
3570,2632,5,6949,3,13,0,0,14
3507,2576,5,6496,3,13,1,1,28
3498,3240,6,6767,3,13,1,1,28
3566,1160,1,7087,3,13,0,0,25
3562,3017,6,3925,3,4,0,0,12
3564,57,0,512,3,4,0,0,12
3549,1562,3,5477,3,4,0,0,12
3549,4231,8,4862,3,4,0,0,12
3548,12,0,163,3,13,0,0,12
3548,717,1,1117,3,4,0,0,12
3565,3399,7,1753,3,4,0,0,12
3546,219,0,2464,3,4,0,0,12
3555,1454,2,6854,3,4,0,0,12
3560,3850,7,7168,3,13,0,0,14
3558,4414,8,7222,3,13,0,0,14
3556,3443,7,2298,3,4,0,0,12
3548,4341,8,6205,3,4,0,0,12
3557,12,0,167,3,13,0,0,12
3552,4346,8,6278,3,4,0,0,12
3563,911,1,3858,3,13,0,0,12
3556,3004,6,3755,3,4,0,0,12
3509,1215,2,364,3,13,1,1,28
3564,1317,2,1734,3,4,0,0,12
3548,3228,6,6599,3,4,0,0,12
3548,3661,7,4780,3,4,0,0,12
3546,3961,8,1230,3,4,0,0,12
3551,4098,8,3167,3,4,0,0,12
3564,89,0,835,3,4,0,0,12
3556,911,1,3862,3,13,0,0,12
3562,1045,1,5595,3,10,0,0,12
3555,2787,6,1212,3,4,0,0,12
3562,1079,1,6000,3,4,0,0,12
3545,1648,4,1062,3,13,0,0,12
3542,1576,3,5699,3,13,0,0,12
3541,611,0,7200,3,13,0,0,14
3539,639,1,173,3,4,0,0,12
3521,7,0,88,3,13,1,1,12
3827,33,0,361,3,13,0,0,25
3537,590,0,6994,3,13,1,1,28
3823,1091,1,6181,3,13,1,0,31
3529,669,1,482,3,0,1,1,12
3529,636,1,45,3,13,1,1,28
3524,1994,4,6198,3,13,1,1,12
3509,710,1,998,3,13,1,1,28
3500,2641,5,7034,3,13,1,1,12
3543,1576,3,5702,3,13,0,0,12
3509,1491,2,7272,3,13,1,1,28
3510,1406,2,6075,3,13,1,1,28
3498,3254,6,7009,3,13,1,1,28
3497,3748,7,5959,3,13,1,1,28
3497,3840,7,7045,3,13,1,1,28
3499,3845,7,7128,3,13,1,1,12
3499,3313,7,509,3,13,1,1,28
3490,2688,6,229,3,13,0,0,14
3489,2701,6,436,3,13,0,0,14
3492,3097,6,5009,3,13,0,0,12
